codeswitch,source,expected_lang
KOSPI 종목 중 1년 period 내 상승률 상위 종목,wildchat_1M,Matrix
Gas volume conversion device에 대해 설명해줘.,wildchat_1M,Matrix
안녕하세요. 본 운동 전 warm-up set를 하는 이유는?,wildchat_1M,Matrix
중소기업을 위한 ESG management의 주요 components는 무엇인가요?,wildchat_1M_converted,Matrix
Adult learner 대상의 비대면 mental education 교과목 개발의 필요성을 작성해주세요.,wildchat_1M,Matrix
당신의 경험 중에서 physical therapy 전공을 추구하는 데 가장 관련이 있는 측면은 무엇입니까?,wildchat_1M_converted,Matrix
마음에 드는 사람에게 감정을 express하는 효과적인 방법은 무엇인가요?,wildchat_1M_converted,Matrix
세종대왕과 Liu Bei가 벌인 전쟁에 대해서 아니?,wildchat_1M,Matrix
"https://www.youtube.com/watch?v=bBFaKrL01rk  
Ilya Sutskever의 interview 내용을 짧게 요약해줘.",wildchat_1M,Matrix
"두 집합 X = {1, 2, 3, 4, 5}, Y = {-1, 0, 1, 2, 3}에 대하여 다음 조건을 만족시키는 함수 f : X → Y의 개수를 구하시오. [4 points]

(a) f(1) ≤ f(2) ≤ f(3) ≤ f(4) ≤ f(5)
(b) f(a) + f(b) = 0을 만족시키는 집합 X의 서로 다른 두 원소인 a, b가 존재한다.",wildchat_1M,Matrix
DNS가 유출되면 real IP도 노출 돼?,wildchat_1M,Matrix
Roman era의 성노예에 대해 알려줘,wildchat_1M,Matrix
"현대 fantasy 소설, 특히 한국 web novel 장르의 결정적인 특징은 무엇인가요?",wildchat_1M_converted,Matrix
Modern fantasy 한국 web novel의 전형적인 characteristics와 elements는 무엇인가요?,wildchat_1M_converted,Matrix
Annuity insurance는 연금저축보험과 무슨 차이야?,wildchat_1M,Matrix
LINE과 같은 chat window 웹사이트를 user-friendly하고 시각적으로 매력적으로 만드는 주요 features와 design elements는 무엇인가요?,wildchat_1M_converted,Matrix
Roger Penrose의 orchestrated objective reduction theory를 알려줘,wildchat_1M,Matrix
작은 마을에 사는 사람이 boredom을 덜기 위한 activities나 strategies는 무엇인가요?,wildchat_1M_converted,Matrix
Backend 개발자가 팀에서 직면하는 가장 어려운 experiences 중 몇 가지는 무엇인가요?,wildchat_1M_converted,Matrix
